Email_ID,text,Category
1,sale electronics get electronics today,Spam
2,meeting reminder dont forget team meeting tomorrow,Important
3,win free vacation claim free vacation click,Spam
4,project update latest project update available intranet,Important
5,discount offer exclusive discount next purchase,Spam
6,job application followup reviewed application get back soon,Important
7,free gift card win gift card participating survey,Spam
8,client feedback request please provide feedback recent service,Important
9,special promotion dont miss special promotion weekend,Spam
10,invoice ready invoice last month available download,Important
11,final notice payment due final notice regarding overdue payment,Spam
12,upcoming webinar join upcoming webinar data science trends,Important
13,congratulations youve prize contact us claim,Spam
14,annual report please review annual financial report attached,Important
15,limited time offer act get items,Spam
16,application status received application reviewing,Important
17,special sale event join special sale event save big,Spam
18,security alert detected unusual activity account,Important
19,reminder payment due payment due soon please make due date,Spam
20,product launch excited announce launch new product,Important
21,important update account updated terms account,Important
22,get rich quick scheme make money fast new investment scheme,Spam
23,meeting confirmation meeting confirmed next wednesday,Important
24,exclusive deals check exclusive deals available today,Spam
25,monthly newsletter monthly newsletter updates news,Important
26,work home opportunities explore work home job opportunities us,Spam
27,customer satisfaction survey please fill survey help us improve service,Important
28,limited time offer insurance get discount insurance plans limited time,Spam
29,new feature release weve released new feature platform,Important
30,get free trial sign today get free trial new software,Spam
31,project deadline reminder reminder deadline project approaching,Important
32,special offer subscriptions enjoy subscriptions weekend,Spam
33,order shipped recent order shipped way,Important
34,big sale home appliances dont miss big sale home appliances,Spam
35,quarterly performance review quarterly performance review available,Important
36,win free laptop enter contest win free laptop,Spam
37,webinar registration confirmation registration webinar confirmed,Important
38,free sample offer claim free sample new product,Spam
39,appointment reminder reminder appointment scheduled tomorrow,Important
40,exclusive event invitation invited exclusive event next week,Spam
41,credit card statement latest credit card statement available,Important
42,job opening marketing manager hiring marketing manager apply,Spam
43,company policy update review updated company policies intranet,Important
44,special promo code use promo code extra next order,Spam
45,upcoming training session join us training session professional development,Important
46,seasonal discount clothing enjoy seasonal discounts clothing items,Spam
47,feedback recent purchase please provide feedback recent purchase,Important
48,flash sale today today flash sale,Spam
49,subscription renewal reminder subscription renewal next month,Important
50,free webinar investment tips register free webinar investment strategies,Spam
51,product review request wed appreciate review latest product,Important
52,limitedtime flash sale flash sale ending soon shop,Spam
53,recent purchase invoice download invoice recent purchase,Important
55,team meeting agenda agenda tomorrows team meeting attached,Important
56,special discounts subscribers check special discounts subscribers,Spam
57,account security alert detected possible security issue account,Important
58,win free vacation package enter chance win free vacation package,Spam
59,monthly account summary monthly account summary available,Important
60,new product launch announcement excited announce new product launch,Spam
